tile_id,building_id,category,gt_height_m,base_shadow_m,base_height_m,base_error_m,m4_shadow_m,m4_height_m,m4_error_m,m4_status,m4_confidence,m4_term_reason,failure_mode
2_10,78,Medium,8.51,7.15,6.39,2.12,4.15,3.71,4.80,VALID,1.00,SHADOW_SUPPORT_LOST,NONE
2_10,79,Small,2.26,10.90,9.75,7.49,9.05,8.09,5.84,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_10,80,Small,2.35,9.10,8.14,5.79,9.00,8.05,5.70,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_10,81,Medium,4.03,30.00,26.82,22.79,3.65,3.26,0.77,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,82,Large,21.80,27.60,24.68,2.88,3.35,3.00,18.80,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_10,83,Medium,9.51,30.00,26.82,17.32,7.30,6.53,2.98,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_10,84,Medium,4.34,13.05,11.67,7.33,7.95,7.11,2.77,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_10,85,Small,3.20,6.40,5.72,2.52,2.45,2.19,1.01,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_11,1,Large,14.28,15.75,14.08,0.20,7.30,6.53,7.75,VALID,1.00,RELATIVE_INTENSITY_STEP,FALSE_SHORT_SHADOW
2_11,2,Large,14.24,13.45,12.03,2.21,4.00,3.58,10.66,VALID,0.99,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_11,3,Large,14.28,18.85,16.85,2.57,3.15,2.82,11.47,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_11,4,Medium,6.86,30.00,26.82,19.96,3.30,2.95,3.91,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_11,5,Small,3.32,30.00,26.82,23.51,4.30,3.84,0.53,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_11,6,Medium,6.11,10.25,9.16,3.05,2.10,1.88,4.23,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_11,7,Small,3.25,30.00,26.82,23.57,5.40,4.83,1.58,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_11,8,Large,12.32,28.15,25.17,12.85,18.70,16.72,4.40,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_11,9,Large,12.22,30.00,26.82,14.61,20.75,18.55,6.34,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_11,10,Large,12.27,30.00,26.82,14.55,22.00,19.67,7.40,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_11,11,Medium,5.15,30.00,26.82,21.67,12.00,10.73,5.58,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_11,12,Small,1.18,27.10,24.23,23.05,6.30,5.63,4.45,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_11,13,Small,1.15,17.85,15.96,14.81,7.45,6.66,5.51,VALID,1.00,RELATIVE_INTENSITY_STEP,FALSE_LONG_SHADOW
2_11,14,Medium,11.90,9.80,8.76,3.14,9.00,8.05,3.86,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_11,15,Medium,11.87,30.00,26.82,14.95,22.85,20.43,8.56,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_11,16,Small,1.60,12.00,10.73,9.13,6.60,5.90,4.30,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_11,17,Medium,5.40,30.00,26.82,21.43,3.00,2.68,2.71,VALID,0.98,RELATIVE_INTENSITY_STEP,NONE
2_11,18,Medium,5.37,30.00,26.82,21.45,8.35,7.47,2.09,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_11,19,Medium,7.12,30.00,26.82,19.70,29.20,26.11,18.99,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_11,20,Small,2.45,19.70,17.61,15.16,3.75,3.35,0.90,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_11,21,Medium,9.89,30.00,26.82,16.93,8.80,7.87,2.02,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_11,22,Large,12.34,25.05,22.40,10.05,10.85,9.70,2.64,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_11,23,Medium,11.41,18.00,16.09,4.69,11.05,9.88,1.53,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_11,24,Large,13.10,7.45,6.66,6.44,5.50,4.92,8.18,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_11,25,Medium,11.69,6.40,5.72,5.96,2.95,2.64,9.05,VALID,1.00,SHADOW_SUPPORT_LOST,FALSE_SHORT_SHADOW
2_11,26,Medium,11.09,2.50,2.24,8.85,1.10,0.98,10.10,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_12,1,Large,17.52,11.25,10.06,7.46,1.50,1.34,16.18,VALID,0.97,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_12,2,Large,14.58,30.00,26.82,12.24,15.05,13.46,1.12,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_12,3,Medium,4.96,12.85,11.49,6.53,6.85,6.12,1.16,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_12,4,Large,16.46,30.00,26.82,10.36,8.50,7.60,8.86,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_12,5,Medium,9.74,22.45,20.07,10.33,14.95,13.37,3.63,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_12,6,Large,16.47,30.00,26.82,10.35,19.35,17.30,0.83,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_12,7,Medium,5.23,9.95,8.90,3.66,1.10,0.98,4.25,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_12,8,Medium,6.27,30.00,26.82,20.56,4.55,4.07,2.20,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_12,9,Medium,7.19,30.00,26.82,19.63,14.40,12.88,5.68,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_12,10,Medium,6.87,30.00,26.82,19.95,5.10,4.56,2.31,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_12,11,Small,2.90,22.60,20.21,17.31,5.00,4.47,1.57,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_12,12,Medium,11.48,30.00,26.82,15.35,7.95,7.11,4.37,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_12,13,Large,12.45,30.00,26.82,14.37,10.70,9.57,2.88,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_12,14,Medium,9.64,12.95,11.58,1.94,12.95,11.58,1.94,VALID,1.00,SHADOW_SUPPORT_LOST,NONE
2_12,15,Medium,5.18,3.90,3.49,1.70,3.90,3.49,1.70,VALID,1.00,SHADOW_SUPPORT_LOST,NONE
2_12,16,Large,14.84,30.00,26.82,11.98,22.60,20.21,5.37,VALID,1.00,RELATIVE_INTENSITY_STEP,FALSE_LONG_SHADOW
2_12,17,Medium,6.24,30.00,26.82,20.58,12.90,11.53,5.30,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_12,18,Small,2.56,30.00,26.82,24.27,5.65,5.05,2.49,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_12,19,Medium,4.91,12.60,11.27,6.35,4.60,4.11,0.80,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,1,Large,14.43,30.00,26.82,12.39,10.40,9.30,5.14,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_13,2,Small,3.09,10.90,9.75,6.65,8.25,7.38,4.29,VALID,1.00,SHADOW_SUPPORT_LOST,NONE
2_13,3,Small,1.85,20.90,18.69,16.84,7.40,6.62,4.77,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,4,Small,0.01,23.30,20.83,20.82,5.75,5.14,5.13,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_13,5,Medium,4.83,9.35,8.36,3.53,2.75,2.46,2.37,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_13,6,Small,2.25,30.00,26.82,24.57,12.35,11.04,8.79,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_13,7,Medium,7.55,6.80,6.08,1.47,4.00,3.58,3.98,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,8,Medium,9.23,30.00,26.82,17.60,2.40,2.15,7.08,VALID,1.00,RELATIVE_INTENSITY_STEP,FALSE_SHORT_SHADOW
2_13,9,Small,0.00,24.80,22.17,22.17,2.80,2.50,2.50,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,10,Large,12.59,30.00,26.82,14.23,13.10,11.71,0.88,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,11,Medium,4.28,30.00,26.82,22.54,3.35,3.00,1.29,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,12,Medium,8.16,30.00,26.82,18.66,3.15,2.82,5.35,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_13,13,Medium,5.66,30.00,26.82,21.17,8.20,7.33,1.67,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,14,Large,14.04,30.00,26.82,12.79,4.05,3.62,10.41,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_13,15,Medium,9.47,30.00,26.82,17.35,12.85,11.49,2.02,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,16,Medium,7.10,30.00,26.82,19.72,5.25,4.69,2.41,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_13,17,Medium,4.64,22.50,20.12,15.48,7.85,7.02,2.38,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_13,18,Small,0.84,6.10,5.45,4.61,0.30,N/A,N/A,REJECTED,0.00,RELATIVE_INTENSITY_STEP,NO_VALID_SHADOW
2_13,19,Large,13.76,30.00,26.82,13.06,6.30,5.63,8.13,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_13,20,Small,2.17,30.00,26.82,24.65,5.55,4.96,2.79,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,21,Large,15.69,29.95,26.78,11.09,12.10,10.82,4.87,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_13,22,Small,0.00,10.00,8.94,8.94,3.60,3.22,3.22,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_13,23,Large,13.10,30.00,26.82,13.72,13.40,11.98,1.12,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,24,Large,12.69,30.00,26.82,14.13,22.20,19.85,7.16,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_13,25,Medium,8.42,5.35,4.78,3.63,3.35,3.00,5.42,VALID,0.99,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_13,26,Medium,4.89,10.35,9.25,4.36,5.15,4.60,0.29,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,27,Large,13.49,30.00,26.82,13.33,9.85,8.81,4.69,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,28,Small,0.00,30.00,26.82,26.82,3.45,3.08,3.08,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,29,Large,12.61,30.00,26.82,14.21,16.60,14.84,2.23,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,30,Large,13.06,21.05,18.82,5.76,16.30,14.57,1.51,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,31,Medium,10.91,30.00,26.82,15.92,7.00,6.26,4.65,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,32,Small,1.12,11.50,10.28,9.17,2.15,1.92,0.81,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_13,33,Small,2.43,13.15,11.76,9.33,4.75,4.25,1.81,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,34,Medium,4.19,24.40,21.82,17.62,9.80,8.76,4.57,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,35,Small,3.71,18.50,16.54,12.83,5.15,4.60,0.89,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_13,36,Medium,9.73,29.00,25.93,16.20,9.10,8.14,1.59,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_13,37,Medium,6.73,28.35,25.35,18.62,13.25,11.85,5.12,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_13,38,Large,13.96,30.00,26.82,12.86,12.30,11.00,2.96,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,39,Large,12.77,30.00,26.82,14.05,10.05,8.99,3.79,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,40,Medium,5.65,30.00,26.82,21.17,4.15,3.71,1.94,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_13,41,Small,0.64,17.55,15.69,15.05,8.20,7.33,6.69,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_13,42,Small,0.00,22.75,20.34,20.34,2.20,1.97,1.97,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,43,Medium,9.46,21.75,19.45,9.98,1.00,0.89,8.57,VALID,0.95,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_13,44,Large,13.50,30.00,26.82,13.32,8.10,7.24,6.26,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_13,45,Medium,7.25,26.50,23.69,16.44,13.30,11.89,4.64,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,46,Medium,8.32,15.10,13.50,5.18,5.20,4.65,3.67,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,47,Medium,10.92,30.00,26.82,15.90,9.10,8.14,2.78,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_13,48,Medium,7.68,24.95,22.31,14.63,4.80,4.29,3.39,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,49,Medium,4.61,9.65,8.63,4.02,2.25,2.01,2.60,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_13,50,Medium,11.60,30.00,26.82,15.22,4.85,4.34,7.26,VALID,0.99,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_13,51,Small,2.63,16.50,14.75,12.13,1.15,1.03,1.60,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,52,Large,12.90,16.85,15.07,2.17,14.70,13.14,0.24,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,53,Medium,10.58,30.00,26.82,16.24,12.20,10.91,0.33,VALID,1.00,SHADOW_SUPPORT_LOST,NONE
2_13,54,Small,2.66,14.95,13.37,10.70,2.50,2.24,0.43,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,55,Medium,6.26,19.50,17.44,11.18,5.50,4.92,1.34,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,56,Medium,11.04,30.00,26.82,15.79,7.95,7.11,3.93,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,57,Medium,11.75,30.00,26.82,15.08,10.60,9.48,2.27,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,58,Medium,9.89,14.15,12.65,2.77,4.55,4.07,5.82,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_13,59,Medium,6.88,16.90,15.11,8.23,6.85,6.12,0.75,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,60,Small,0.89,30.00,26.82,25.93,2.55,2.28,1.39,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,61,Medium,11.04,30.00,26.82,15.78,4.70,4.20,6.84,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_13,62,Small,0.28,1.45,1.30,1.01,0.25,N/A,N/A,REJECTED,0.00,LOCAL_GRADIENT_STEP,NO_VALID_SHADOW
2_13,63,Small,1.64,30.00,26.82,25.18,7.45,6.66,5.02,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_13,64,Small,0.00,30.00,26.82,26.82,25.00,22.35,22.35,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_13,65,Medium,8.08,23.05,20.61,12.53,5.00,4.47,3.61,VALID,1.00,SHADOW_SUPPORT_LOST,NONE
2_13,66,Medium,9.02,30.00,26.82,17.80,4.15,3.71,5.31,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_13,67,Small,1.21,30.00,26.82,25.62,22.20,19.85,18.64,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
2_13,68,Medium,8.80,8.70,7.78,1.02,2.05,1.83,6.97,VALID,1.00,SHADOW_SUPPORT_LOST,FALSE_SHORT_SHADOW
